Video_name,happy,angry,sad,surprise,disgust,fear,neutral,emotion_change,each_video_emotion_count,YT,DF,F2F,FS,NT,all_emotion_count,all_neutral_count,all_neutral_%,
042.mp4,85,4,27,0,185,13,24,118,338,35%,1%,1%,6%,2%,,,,
043.mp4,36,0,7,0,3,445,0,35,491,7%,0%,0%,3%,0%,,,,
044.mp4,0,2,8,128,194,0,9,55,341,16%,32%,0%,8%,0%,,,,
045.mp4,0,0,13,27,71,190,53,126,354,36%,0%,15%,4%,11%,,,,
046.mp4,16,15,19,262,179,2,11,74,504,15%,0%,0%,1%,0%,,,,
047.mp4,3,0,17,0,282,16,1,30,319,9%,0%,0%,0%,0%,,,,
048.mp4,128,2,337,0,382,87,4,546,940,58%,0%,0%,1%,0%,,,,
049.mp4,0,0,0,54,13,118,0,17,185,9%,0%,0%,0%,0%,,,,
050.mp4,515,0,0,0,0,15,0,21,530,4%,0%,0%,0%,0%,,,,
051.mp4,13,5,26,102,482,31,58,210,717,29%,0%,41%,7%,68%,,,,
052.mp4,25,0,260,19,38,20,7,143,369,39%,0%,1%,1%,1%,,,,
053.mp4,15,0,9,6,264,68,56,128,418,31%,15%,5%,14%,10%,,,,
054.mp4,37,0,3,53,201,55,19,69,368,19%,37%,0%,49%,1%,,,,
055.mp4,161,6,1,56,50,168,0,157,442,36%,0%,0%,0%,0%,,,,
056.mp4,37,0,77,8,49,225,4,136,400,34%,0%,0%,4%,0%,,,,
057.mp4,3,0,1,1,416,1,10,22,432,5%,0%,0%,0%,1%,,,,
058.mp4,0,0,33,52,594,0,2,67,681,10%,0%,0%,0%,0%,,,,
059.mp4,32,7,33,8,610,33,0,114,723,16%,0%,0%,0%,0%,,,,
060.mp4,159,5,256,74,79,518,7,570,1098,52%,3%,0%,16%,0%,,,,
061.mp4,193,0,16,0,144,1,0,66,354,19%,0%,0%,2%,0%,,,,
062.mp4,0,0,16,48,365,0,0,26,429,6%,0%,0%,0%,0%,,,,
063.mp4,4,9,51,191,583,87,5,161,930,17%,5%,0%,3%,2%,,,,
064.mp4,2,0,1,0,338,61,0,42,402,10%,0%,0%,0%,0%,,,,
065.mp4,45,0,77,94,105,106,17,217,444,49%,0%,1%,25%,0%,,,,
066.mp4,3,0,0,17,3,67,0,17,90,19%,0%,0%,0%,0%,,,,
067.mp4,2,0,165,88,220,39,24,158,538,29%,2%,1%,9%,7%,,,,
068.mp4,1,1,40,5,184,142,28,92,401,23%,12%,25%,7%,20%,,,,
069.mp4,19,0,188,41,351,27,160,244,786,31%,0%,9%,20%,20%,,,,
070.mp4,1,0,75,32,165,59,0,119,332,36%,1%,1%,48%,0%,,,,
071.mp4,29,1,136,22,158,37,80,143,463,31%,0%,2%,2%,15%,,,,
072.mp4,4,0,5,0,273,18,11,46,311,15%,0%,0%,5%,0%,,,,
073.mp4,0,0,98,1,238,366,0,212,703,30%,8%,0%,17%,0%,,,,
074.mp4,3,0,2,0,330,5,8,27,348,8%,0%,5%,0%,3%,,,,
075.mp4,48,0,10,385,170,427,2,860,1042,83%,1%,0%,2%,0%,,,,
076.mp4,51,16,7,0,257,4,0,57,335,17%,0%,0%,2%,0%,,,,
077.mp4,11,0,120,16,215,271,42,318,675,47%,0%,9%,11%,4%,,,,
078.mp4,15,0,85,1,409,0,13,111,523,21%,0%,0%,0%,3%,,,,
079.mp4,22,0,4,35,343,20,0,53,424,13%,0%,0%,0%,0%,,,,
080.mp4,5,0,3,17,442,15,1,33,483,7%,0%,0%,0%,0%,,,,
081.mp4,38,0,41,14,912,46,119,202,1170,17%,0%,1%,9%,6%,,,,
082.mp4,6,2,1,10,285,1,12,33,317,10%,2%,0%,1%,0%,,,,
083.mp4,429,0,34,129,157,648,4,982,1401,70%,0%,0%,1%,0%,,,,
084.mp4,47,0,102,378,127,38,4,504,696,72%,0%,0%,2%,2%,,,,
085.mp4,5,3,104,0,205,4,8,74,329,22%,5%,0%,15%,0%,,,,
086.mp4,0,0,5,0,633,292,3,165,933,18%,3%,0%,2%,0%,,,,
087.mp4,301,0,0,0,0,4,0,8,305,3%,5%,0%,0%,0%,,,,
088.mp4,25,22,21,0,526,18,55,101,667,15%,0%,2%,0%,3%,,,,
089.mp4,34,1,92,0,606,92,0,230,825,28%,0%,0%,0%,0%,,,,
090.mp4,11,0,29,252,248,2,152,211,694,30%,0%,4%,5%,17%,,,,
091.mp4,275,0,86,10,343,91,68,467,873,53%,0%,3%,1%,1%,,,,
092.mp4,0,0,5,0,455,1,0,6,461,1%,0%,0%,0%,0%,,,,
093.mp4,1,0,83,157,136,11,5,201,393,51%,22%,1%,15%,0%,,,,
094.mp4,1,0,258,1,544,5,0,430,809,53%,0%,0%,0%,0%,,,,
095.mp4,224,0,270,125,111,239,79,401,1048,38%,0%,0%,12%,1%,,,,
096.mp4,1,0,76,13,129,277,8,160,504,32%,0%,0%,5%,5%,,,,
097.mp4,61,0,0,20,366,31,0,69,478,14%,0%,0%,0%,0%,,,,
098.mp4,5,0,189,0,96,15,5,104,310,34%,0%,0%,2%,0%,,,,
099.mp4,8,0,7,217,368,22,1,115,623,18%,0%,0%,0%,0%,,,,
100.mp4,124,0,6,101,164,13,17,142,425,33%,0%,0%,0%,2%,,,,
101.mp4,249,31,113,131,399,90,105,466,1118,42%,1%,5%,2%,7%,,,,
102.mp4,216,11,0,0,0,100,0,65,327,20%,0%,0%,0%,0%,,,,
103.mp4,25,0,88,2,303,150,29,156,597,26%,0%,8%,4%,3%,,,,
104.mp4,0,1,19,189,32,240,0,129,481,27%,8%,0%,1%,0%,,,,
105.mp4,0,0,10,21,246,12,23,53,312,17%,8%,0%,17%,8%,,,,
106.mp4,226,7,57,0,64,0,2,56,356,16%,0%,0%,5%,0%,,,,
107.mp4,3,0,78,0,440,0,35,84,556,15%,0%,0%,31%,0%,,,,
108.mp4,2,0,109,67,2,74,47,55,301,18%,8%,18%,42%,16%,,,,
109.mp4,263,0,6,0,8,22,0,32,299,11%,1%,0%,0%,0%,,,,
110.mp4,116,75,200,36,84,0,25,138,536,26%,0%,38%,2%,31%,,,,
111.mp4,81,0,1,58,202,38,7,126,387,33%,0%,0%,0%,5%,,,,
112.mp4,3,1,34,28,181,152,7,203,406,50%,0%,3%,8%,1%,,,,
113.mp4,3,0,82,0,615,31,156,254,887,29%,41%,1%,16%,6%,,,,
114.mp4,788,0,20,0,202,259,0,179,1269,14%,0%,0%,0%,0%,,,,
115.mp4,232,1,105,28,0,4,1,114,371,31%,0%,0%,0%,1%,,,,
116.mp4,0,0,29,21,204,72,1,75,327,23%,1%,0%,11%,1%,,,,
117.mp4,9,12,131,178,134,36,66,204,566,36%,0%,11%,2%,5%,,,,
118.mp4,0,0,0,22,315,15,0,28,352,8%,0%,0%,0%,0%,,,,
119.mp4,3,0,16,28,430,0,26,70,503,14%,0%,1%,13%,8%,,,,
120.mp4,41,0,124,11,163,5,101,219,445,49%,0%,6%,19%,11%,,,,
121.mp4,4,7,243,173,38,14,75,191,554,34%,0%,6%,1%,5%,,,,
122.mp4,18,0,9,78,209,4,0,55,318,17%,0%,6%,5%,2%,,,,
123.mp4,84,0,29,104,221,2,74,141,514,27%,1%,1%,4%,11%,,,,
124.mp4,1,0,19,13,42,26,234,99,335,30%,6%,57%,46%,76%,,,,
125.mp4,0,0,0,139,352,3,7,47,501,9%,0%,0%,7%,9%,,,,
126.mp4,8,0,85,71,158,3,3,32,328,10%,0%,3%,5%,0%,,,,
127.mp4,259,3,535,17,164,494,391,1694,1863,91%,13%,20%,14%,23%,,,,
128.mp4,163,0,12,46,278,82,0,141,581,24%,0%,0%,0%,0%,,,,
129.mp4,309,0,11,1,220,107,0,590,648,91%,1%,0%,2%,0%,,,,
130.mp4,12,0,49,13,452,17,123,188,666,28%,0%,2%,6%,4%,,,,
131.mp4,31,0,92,0,0,113,70,110,306,36%,0%,14%,46%,18%,,,,
132.mp4,29,0,59,2,246,59,18,108,413,26%,0%,0%,0%,1%,,,,
133.mp4,314,0,11,10,11,361,1,179,708,25%,0%,0%,0%,0%,,,,
134.mp4,15,0,18,104,176,1,32,63,346,18%,4%,5%,0%,10%,,,,
135.mp4,0,0,15,168,132,11,2,84,328,26%,0%,0%,2%,0%,,,,
136.mp4,5,0,16,117,400,75,1,113,614,18%,4%,0%,0%,0%,,,,
137.mp4,16,0,32,0,539,19,0,79,606,13%,0%,0%,0%,0%,,,,
138.mp4,6,1,29,0,43,56,275,91,410,22%,1%,30%,42%,30%,,,,
139.mp4,9,0,4,0,357,0,8,22,378,6%,24%,2%,4%,4%,,,,
140.mp4,89,0,18,0,5,191,0,80,303,26%,0%,0%,0%,0%,,,,
141.mp4,7,0,46,64,335,5,74,155,531,29%,0%,5%,7%,8%,,,,
142.mp4,160,0,65,367,96,269,1,232,958,24%,13%,0%,0%,0%,,,,
143.mp4,135,0,10,0,266,3,0,105,414,25%,0%,0%,0%,0%,,,,
144.mp4,0,0,38,2,173,121,11,90,345,26%,7%,1%,4%,1%,,,,
145.mp4,28,0,60,82,263,9,0,155,442,35%,0%,0%,0%,6%,,,,
146.mp4,63,30,437,200,115,69,84,432,998,43%,0%,11%,3%,9%,,,,
147.mp4,390,3,2,0,205,69,0,146,669,22%,0%,0%,0%,0%,,,,
148.mp4,621,0,204,0,95,14,1,590,935,63%,0%,0%,2%,0%,,,,
149.mp4,4,6,13,129,102,105,6,78,365,21%,5%,0%,1%,1%,,,,
150.mp4,4,0,55,0,272,109,16,101,456,22%,1%,2%,1%,2%,,,,
151.mp4,60,0,0,70,58,0,159,155,347,45%,10%,23%,35%,24%,,,,
152.mp4,37,0,11,0,8,150,107,112,313,36%,0%,7%,37%,12%,,,,
153.mp4,208,0,52,132,175,81,84,279,732,38%,0%,1%,10%,1%,,,,
154.mp4,185,7,18,144,611,12,83,627,1060,59%,7%,8%,6%,9%,,,,
155.mp4,0,0,259,59,428,65,18,239,829,29%,0%,0%,16%,1%,,,,
156.mp4,6,1,23,2,893,75,12,217,1012,21%,0%,0%,0%,0%,,,,
157.mp4,47,0,18,4,387,30,10,99,496,20%,0%,1%,0%,4%,,,,
158.mp4,12,0,49,211,125,37,28,113,462,24%,0%,0%,0%,1%,,,,
159.mp4,3,0,53,43,218,7,1,71,325,22%,22%,0%,3%,0%,,,,
160.mp4,19,0,108,17,350,2,38,172,534,32%,0%,9%,0%,1%,,,,
161.mp4,14,0,66,183,93,21,0,88,377,23%,3%,0%,3%,0%,,,,
162.mp4,46,68,20,39,477,26,39,157,715,22%,2%,0%,1%,0%,,,,
163.mp4,2,1,2,162,97,35,5,64,304,21%,0%,0%,0%,0%,,,,
164.mp4,344,0,152,5,208,286,26,279,1021,27%,0%,0%,1%,1%,,,,
165.mp4,18,0,2,0,355,11,1,29,387,7%,0%,0%,7%,0%,,,,
166.mp4,32,0,24,165,493,14,28,163,756,22%,6%,0%,1%,2%,,,,
167.mp4,81,3,24,32,202,8,27,158,377,42%,0%,2%,7%,2%,,,,
168.mp4,0,0,107,252,198,729,194,666,1480,45%,0%,17%,28%,17%,,,,
169.mp4,15,0,135,0,12,173,314,176,649,27%,22%,82%,97%,71%,,,,
170.mp4,6,2,74,127,159,1,100,135,469,29%,0%,3%,7%,5%,,,,
171.mp4,17,0,4,17,2,148,1,46,189,24%,0%,0%,2%,0%,,,,
172.mp4,372,0,146,1,93,48,90,240,750,32%,1%,8%,15%,9%,,,,
173.mp4,29,1,52,291,338,31,36,224,778,29%,0%,3%,1%,15%,,,,
174.mp4,4,0,56,386,23,29,1,179,499,36%,5%,0%,0%,0%,,,,
175.mp4,11,0,26,29,380,5,26,98,477,21%,0%,0%,0%,13%,,,,
176.mp4,4,0,51,137,288,3,5,246,488,50%,0%,1%,6%,0%,,,,
177.mp4,2,4,10,155,238,8,2,94,419,22%,0%,0%,0%,0%,,,,
178.mp4,1,0,154,0,133,224,9,135,521,26%,2%,1%,2%,0%,,,,
179.mp4,721,22,506,277,237,0,9,1123,1772,63%,1%,1%,1%,1%,,,,
180.mp4,70,3,32,28,370,11,73,158,587,27%,4%,8%,14%,14%,,,,
181.mp4,17,0,71,9,137,101,143,158,478,33%,0%,26%,0%,26%,,,,
182.mp4,16,2,139,20,134,89,220,193,620,31%,93%,25%,20%,37%,,,,
183.mp4,3,0,114,0,107,139,0,149,363,41%,1%,0%,0%,0%,,,,
184.mp4,1,0,280,48,953,20,0,275,1302,21%,0%,0%,0%,0%,,,,
185.mp4,24,0,0,0,822,0,3,29,849,3%,0%,0%,29%,0%,,,,
186.mp4,12,9,351,1646,285,28,0,1240,2331,53%,1%,0%,0%,0%,,,,
187.mp4,111,1,581,365,383,3,52,939,1496,63%,0%,0%,4%,0%,,,,
188.mp4,4,0,6,34,273,3,13,65,333,20%,0%,3%,3%,5%,,,,
189.mp4,9,0,94,23,368,28,2,113,524,22%,0%,0%,0%,0%,,,,
190.mp4,9,0,29,41,174,64,37,132,354,37%,0%,0%,1%,4%,,,,
191.mp4,80,0,45,73,83,40,73,154,394,39%,5%,3%,6%,2%,,,,
192.mp4,0,0,12,18,176,72,45,110,323,34%,5%,0%,22%,0%,,,,
193.mp4,2,1,6,119,201,14,26,83,369,22%,0%,0%,6%,1%,,,,
194.mp4,10,0,0,2,565,2,0,24,579,4%,0%,0%,0%,0%,,,,
195.mp4,8,0,16,32,256,29,0,65,341,19%,0%,0%,0%,0%,,,,
196.mp4,0,0,93,0,105,54,0,78,252,31%,0%,0%,0%,0%,,,,
197.mp4,216,14,214,361,52,0,23,289,880,33%,0%,0%,9%,0%,,,,
198.mp4,4,0,267,3,360,9,4,504,647,78%,0%,0%,0%,1%,,,,
199.mp4,13,0,0,2,352,2,0,18,369,5%,12%,0%,11%,0%,,,,
200.mp4,11,0,10,135,537,17,7,126,717,18%,0%,0%,15%,0%,,,,
201.mp4,10,10,213,8,433,19,170,261,863,30%,0%,30%,3%,37%,,,,
202.mp4,0,0,6,13,247,18,39,45,323,14%,0%,2%,19%,11%,,,,
203.mp4,6,3,3,92,365,29,0,120,498,24%,20%,0%,1%,0%,,,,
204.mp4,3,0,36,24,245,55,53,111,416,27%,0%,21%,9%,21%,,,,
205.mp4,84,1,21,3,154,10,35,108,308,35%,1%,2%,8%,12%,,,,
206.mp4,7,0,20,1,264,7,461,188,760,25%,0%,23%,29%,23%,,,,
207.mp4,1,0,11,47,137,6,138,91,340,27%,12%,15%,32%,14%,,,,
208.mp4,77,0,15,0,302,70,1,129,465,28%,0%,0%,0%,0%,,,,
209.mp4,112,0,459,0,106,60,4,409,741,55%,4%,1%,1%,0%,,,,
210.mp4,6,405,218,0,118,75,17,243,839,29%,21%,0%,15%,0%,,,,
211.mp4,288,2,19,37,135,150,0,327,631,52%,0%,0%,0%,0%,,,,
212.mp4,0,0,1,25,367,22,1,26,416,6%,0%,0%,0%,0%,,,,
213.mp4,165,19,77,40,37,37,13,104,388,27%,0%,1%,1%,1%,,,,
214.mp4,2,0,14,3,2,392,37,51,450,11%,0%,1%,9%,2%,,,,
215.mp4,368,5,0,0,69,147,0,172,589,29%,0%,0%,0%,0%,,,,
216.mp4,0,0,66,29,237,143,11,195,486,40%,1%,1%,15%,1%,,,,
217.mp4,62,4,45,420,168,16,22,241,737,33%,10%,1%,3%,0%,,,,
218.mp4,1,0,0,2,349,1,0,7,353,2%,0%,0%,0%,0%,,,,
219.mp4,6,0,30,16,260,38,48,166,398,42%,2%,3%,12%,14%,,,,
220.mp4,5,0,5,58,285,4,0,45,357,13%,1%,0%,0%,0%,,,,
221.mp4,740,34,16,209,348,413,22,1592,1782,89%,3%,1%,1%,1%,,,,
222.mp4,14,0,57,79,172,25,61,111,408,27%,4%,2%,17%,6%,,,,
223.mp4,6,0,48,4,214,96,19,142,387,37%,0%,3%,18%,2%,,,,
224.mp4,1,0,1,1,459,0,27,35,489,7%,13%,0%,6%,0%,,,,
225.mp4,9,0,48,5,73,112,33,106,280,38%,14%,6%,62%,20%,,,,
226.mp4,24,1,115,7,82,117,77,220,423,52%,0%,5%,7%,8%,,,,
227.mp4,45,179,4,97,40,35,41,160,441,36%,2%,11%,0%,8%,,,,
228.mp4,16,4,104,6,410,11,1,142,552,26%,0%,0%,2%,0%,,,,
229.mp4,2,0,10,155,183,24,17,103,391,26%,9%,3%,4%,5%,,,,
230.mp4,35,1,25,66,33,75,137,132,372,35%,5%,9%,14%,37%,,,,
231.mp4,98,0,252,4,427,279,0,844,1060,80%,0%,0%,0%,0%,,,,
232.mp4,2,0,410,57,172,103,120,554,864,64%,7%,2%,25%,11%,,,,
233.mp4,8,0,416,610,1208,323,5,1925,2570,75%,0%,0%,1%,0%,,,,
234.mp4,0,0,19,0,299,0,210,107,528,20%,5%,14%,0%,27%,,,,
235.mp4,3,0,4,1,305,2,0,15,315,5%,0%,0%,0%,0%,,,,
236.mp4,91,0,0,3,482,26,78,182,680,27%,0%,6%,2%,17%,,,,
237.mp4,274,0,284,0,98,87,15,284,758,37%,1%,0%,27%,0%,,,,
238.mp4,30,0,132,99,341,22,0,136,624,22%,13%,0%,0%,0%,,,,
239.mp4,653,1,232,0,63,202,4,797,1155,69%,0%,0%,1%,0%,,,,
240.mp4,32,7,28,736,1258,47,14,1202,2122,57%,0%,0%,1%,0%,,,,
241.mp4,168,2,40,0,32,31,19,87,292,30%,0%,7%,1%,3%,,,,
242.mp4,0,0,15,0,6,2,190,23,213,11%,3%,89%,95%,89%,,,,
243.mp4,68,0,12,11,309,17,0,97,417,23%,2%,0%,0%,0%,,,,
244.mp4,5,0,91,287,152,0,22,133,557,24%,0%,2%,4%,1%,,,,
245.mp4,0,0,20,3,364,43,0,118,430,27%,1%,0%,0%,0%,,,,
246.mp4,4,0,76,3,388,29,19,127,519,24%,2%,0%,4%,1%,,,,
247.mp4,35,0,71,20,184,30,60,142,400,36%,0%,0%,5%,3%,,,,
248.mp4,14,0,33,68,256,1,89,158,461,34%,13%,20%,13%,24%,,,,
249.mp4,61,3,251,53,164,111,39,276,682,40%,1%,0%,13%,0%,,,,
250.mp4,28,0,47,60,327,61,43,140,566,25%,1%,1%,5%,3%,,,,
251.mp4,24,0,26,12,247,35,14,100,358,28%,0%,1%,7%,7%,,,,
252.mp4,30,1,0,34,516,9,1,84,591,14%,0%,0%,0%,0%,,,,
253.mp4,10,2,29,37,392,24,7,78,501,16%,0%,0%,3%,0%,,,,
254.mp4,34,14,136,8,114,53,68,147,427,34%,17%,6%,14%,38%,,,,
255.mp4,1,0,142,16,274,35,7,118,475,25%,0%,5%,2%,6%,,,,
256.mp4,0,0,40,38,427,13,22,112,540,21%,1%,1%,13%,6%,,,,
257.mp4,5,0,27,20,724,23,3,92,802,11%,1%,0%,0%,0%,,,,
258.mp4,3,0,26,37,299,68,71,144,504,29%,2%,0%,7%,9%,,,,
259.mp4,89,0,135,6,185,63,0,194,478,41%,0%,0%,0%,0%,,,,
260.mp4,0,0,1,3,70,228,0,39,302,13%,6%,0%,8%,0%,,,,
261.mp4,521,0,81,12,2,42,21,100,679,15%,0%,4%,10%,0%,,,,
262.mp4,83,0,130,23,89,8,65,182,398,46%,41%,24%,4%,48%,,,,
263.mp4,2,0,30,0,259,189,2,246,482,51%,0%,0%,0%,0%,,,,
264.mp4,9,6,80,116,211,48,0,139,470,30%,0%,0%,0%,0%,,,,
265.mp4,0,0,19,239,228,4,19,111,509,22%,0%,9%,1%,17%,,,,
266.mp4,0,0,2,0,462,2,0,5,466,1%,0%,0%,0%,0%,,,,
267.mp4,0,0,0,2,280,24,0,31,306,10%,0%,0%,1%,0%,,,,
268.mp4,245,2,655,12,301,88,174,412,1477,28%,0%,1%,4%,4%,,,,
269.mp4,0,0,2,5,158,194,1,41,360,11%,0%,0%,0%,0%,,,,
270.mp4,12,0,22,0,297,2,0,55,333,17%,0%,0%,0%,0%,,,,
271.mp4,7,0,9,444,43,3,0,76,506,15%,0%,0%,0%,0%,,,,
272.mp4,15,1,6,8,250,34,9,53,323,16%,4%,0%,2%,1%,,,,
273.mp4,87,0,51,2,2,106,24,93,272,34%,0%,1%,0%,3%,,,,
274.mp4,30,0,30,25,143,51,30,153,309,50%,5%,0%,0%,13%,,,,
275.mp4,0,1,0,0,202,220,2,71,425,17%,0%,0%,1%,0%,,,,
276.mp4,9,0,2,32,319,30,0,132,392,34%,0%,0%,0%,0%,,,,
277.mp4,185,0,218,5,577,450,1,947,1436,66%,0%,0%,0%,0%,,,,
278.mp4,50,2,12,0,378,15,0,76,457,17%,0%,0%,0%,0%,,,,
279.mp4,38,0,189,87,46,27,137,186,524,35%,4%,48%,34%,24%,,,,
280.mp4,5,0,52,117,242,142,6,141,564,25%,9%,4%,2%,2%,,,,
281.mp4,5,0,3,22,252,24,7,40,313,13%,1%,0%,5%,5%,,,,
282.mp4,7,0,40,0,504,34,66,174,651,27%,0%,12%,1%,19%,,,,
283.mp4,2,0,676,0,35,253,0,259,966,27%,0%,0%,0%,0%,,,,
284.mp4,16,2,46,165,260,30,0,148,519,29%,0%,0%,0%,0%,,,,
285.mp4,45,0,194,112,57,40,12,204,460,44%,0%,0%,2%,0%,,,,
286.mp4,453,84,233,1,66,21,50,444,908,49%,0%,4%,0%,4%,,,,
287.mp4,0,2,117,59,100,46,44,142,368,39%,0%,11%,1%,8%,,,,
288.mp4,20,0,38,62,490,43,63,261,716,36%,22%,0%,6%,1%,,,,
289.mp4,255,266,172,6,577,37,3,1094,1316,83%,0%,0%,0%,0%,,,,
290.mp4,0,1,5,110,321,3,0,63,440,14%,0%,0%,0%,0%,,,,
291.mp4,40,0,70,54,46,78,38,110,326,34%,1%,13%,5%,12%,,,,
292.mp4,4,0,119,79,169,29,31,150,431,35%,0%,0%,15%,1%,,,,
293.mp4,118,0,274,2,65,301,15,245,775,32%,0%,0%,0%,0%,,,,
294.mp4,24,0,1,0,533,10,36,54,604,9%,6%,10%,1%,5%,,,,
295.mp4,1,0,116,3,245,20,6,104,391,27%,0%,0%,1%,1%,,,,
296.mp4,321,0,3,0,6,7,0,21,337,6%,0%,2%,0%,1%,,,,
297.mp4,21,0,0,0,364,5,0,30,390,8%,0%,0%,1%,0%,,,,
298.mp4,13,0,118,0,374,10,54,134,569,24%,49%,3%,13%,3%,,,,
299.mp4,1,0,4,2,4,273,25,32,309,10%,0%,2%,33%,1%,,,,
300.mp4,124,0,77,0,379,13,0,112,593,19%,0%,0%,0%,0%,,,,
301.mp4,54,1,280,128,628,99,171,935,1361,69%,2%,0%,12%,0%,,,,
302.mp4,26,1,10,0,46,730,0,106,813,13%,4%,0%,23%,0%,,,,
303.mp4,15,0,6,2,525,0,2,40,550,7%,4%,3%,0%,4%,,,,
304.mp4,0,0,0,0,601,9,0,12,610,2%,0%,0%,0%,0%,,,,
305.mp4,371,9,158,153,979,180,48,1420,1898,75%,2%,2%,2%,2%,,,,
306.mp4,79,89,8,0,548,0,4,153,728,21%,0%,0%,1%,0%,,,,
307.mp4,90,0,135,17,95,28,0,132,365,36%,0%,0%,0%,0%,,,,
308.mp4,3,0,44,49,131,281,4,151,512,29%,39%,0%,18%,0%,,,,
309.mp4,103,0,43,75,128,213,290,291,852,34%,1%,13%,28%,14%,,,,
310.mp4,33,0,7,212,97,26,0,90,375,24%,0%,0%,1%,0%,,,,
311.mp4,0,1,66,13,221,2,43,76,346,22%,0%,1%,24%,0%,,,,
312.mp4,6,0,15,40,357,11,0,60,429,14%,0%,0%,0%,0%,,,,
313.mp4,15,0,8,15,424,2,18,59,482,12%,0%,0%,5%,3%,,,,
314.mp4,258,2,82,3,54,15,0,125,414,30%,0%,0%,0%,0%,,,,
315.mp4,0,0,0,66,215,16,7,35,304,12%,28%,0%,0%,3%,,,,
316.mp4,29,0,61,35,431,10,0,104,566,18%,0%,0%,1%,0%,,,,
317.mp4,14,1,2,3,626,8,10,55,664,8%,0%,0%,0%,0%,,,,
318.mp4,0,0,0,47,308,112,8,94,475,20%,5%,0%,1%,0%,,,,
319.mp4,6,0,22,0,642,47,0,108,717,15%,0%,0%,0%,0%,,,,
