FFIW_Real,FFIW_Fake
0.19,0.08
0,0
0.01,0
0.01,0.03
0.01,0.01
0.02,0.06
1,0.25
0,0.03
0,0
0.06,0
0.02,0.01
0.04,0.01
0.15,0
0,0
0,0
0,0
0,0
0,0.05
0.15,0.16
0.12,0.01
0.05,0.05
0,0
0,0
0.09,0.04
0.14,0.05
0.04,0.06
0.03,0.03
0,0
0,0
0.33,0.19
0,0
0,0
0.01,0
0,0
0.17,0.18
0.01,0
0,0
0,0
0,0
0.06,0.16
0.01,0.01
0,0
0,0
0.01,0.01
0,0
0,0
0,0
0,0
0.04,0.03
0,0
0.01,0
0.01,0
0,0
0.12,0
0,0
0,0
0,0
0,0
0,0.02
0,0
0.22,0.13
0.08,0.22
0,0
0.06,0.04
0.15,0.01
0,0
0.04,0.03
0,0
0,0
0,0.01
0.01,0.01
0.05,0.11
0.02,0.02
0,0
0,0
0,0
0.11,0
0.01,0
0.03,0.03
0,0
0.01,0.04
0,0
0,0
0.03,0.03
0,0
0,0
0,0
0,0
0,0
0.03,0.09
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.11,0
0.01,0
0,0
0.01,0.01
0,0
0,0
0.36,0.01
0,0
0.29,0
0,0
0.02,0.01
0,0
0,0
0.16,0.4
0,0
0.02,0
0,0
0.01,0.01
0,0
0,0
0.18,0.11
0,0
0,0
0,0
0.02,0.02
0,0
0.06,0.06
0.03,0.01
0,0
0,0
0,0.01
0,0
0,0
0.09,0
0.32,0
0.01,0.01
0,0
0.1,0.11
0.01,0.02
0,0
0,0
0.05,0.01
0,0
0,0.01
0,0
0,0
0,0.01
0,0.07
0.03,0.02
0,0
0,0
0,0
0.04,0.01
0,0
0.16,0.43
0.05,0.03
0,0
0.03,0
0,0.04
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0.01
0,0
0,0
0.01,0
0.1,0.03
0,0
0.02,0.04
0.04,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.01
0,0
0.01,0
0,0
0,0
0.03,0.02
0,0
0,0
0.07,0
0.21,0.29
0,0
0,0
0,0
0.01,0
0,0
0,0
0.01,0.01
0,0
0.05,0.01
0,0
0.35,0.08
0,0
0.01,0
0,0
0,0.01
0,0
0.05,0.06
0,0
0.01,0
0.59,0.23
0,0
0.01,0
0,0
0,0
0.01,0
0.04,0.14
0,0
0,0
0,0
0.12,0.28
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0.01
0,0
0.03,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.17,0.19
0,0
0,0
0.02,0.02
0,0
0.02,0.01
0,0.08
0.14,0
0,0
0,0
0,0
0,0
0,0
0.01,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0.03,0.01
0,0
0,0
0.03,0.04
0.17,0.2
0,0
0.02,0.08
0.02,0.02
0.2,0.17
0,0
0,0
0,0
0,0.01
0.14,0.22
0.02,0.03
0,0
0,0
0,0
0,0
0,0
0.15,0.02
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0.06,0.01
0.02,0
0,0
0,0
0.23,0.05
0.03,0.03
0,0
0,0
0,0
0,0
0.15,0.34
0,0
0,0
0,0
0.05,0.06
0.04,0.01
0,0
0.01,0.02
0,0
0.05,0.03
0,0
0.11,0
0,0
0,0
0,0
0,0
0,0
0.01,0.02
0,0
0.01,0
0.01,0.01
0,0
0,0
0,0
0,0
0.06,0.06
0,0
0.03,0.03
0,0
0,0
0,0
0.16,0.04
0,0
0,0
0,0
0.02,0
0.33,0.08
0,0
0,0
0.01,0.01
0,0
0,0
0,0
0,0
0.09,0.01
0,0
0,0
0,0
0.02,0.01
0.01,0
0,0
0,0
0,0
0,0
0,0.04
0.02,0.01
0,0
0.01,0.01
0.02,0
0,0
0,0
0.08,0.17
0,0
0,0
0.01,0
0.09,0.09
0.11,0.08
0.07,0
0,0.01
0,0
0,0
0.15,0.11
0.01,0
0,0
0.03,0
0.24,0.48
0.06,0.03
0,0
0,0
0,0.01
0.16,0.11
0,0
0,0
0,0
0,0
0.2,0
0,0
0,0
0.34,0.08
0,0.07
0,0
0,0
0.01,0
0.13,0
0.02,0.02
0,0
0.18,0.01
0,0
0,0
0,0.01
0.01,0.01
0.05,0.04
0,0
0.01,0.01
0,0
0,0
0.06,0.02
0,0
0,0
0.01,0
0.04,0.05
0,0
0.04,0.04
0,0
0,0
0,0
0,0
0,0
0.13,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.06,0.03
0.08,0.09
0,0
0.08,0.02
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.04,0.01
0,0
0.04,0.03
0.01,0.04
0.01,0
0,0.07
0,0
0,0.01
0,0
0,0.01
0,0
0.01,0
0,0
0.02,0.01
0.01,0
0,0
0,0
0.09,0.02
0.01,0
0,0
0,0
0,0
0,0
0.02,0
0,0
0,0
0,0
0.02,0.05
0.01,0
0.31,0.01
0,0
0,0
0,0
0.03,0.02
0,0
0,0
0,0
0.07,0.02
0,0
0.04,0.09
0,0
0,0
0,0
0.03,0.02
0,0
0,0
0,0.01
0,0
0,0
0,0.01
0,0
0,0
0,0
0,0
0.06,0
0.04,0.02
0.01,0.01
0.04,0.02
0,0
0,0
0.05,0.04
0,0
0,0
0,0
0.01,0.01
0.02,0.07
0.03,0.02
0,0
0,0
0,0
0,0
0.06,0.07
0,0
0,0
0,0
0,0
0,0.01
0,0
0,0
0,0
0.01,0
0,0
0.01,0.02
0.14,0.05
0,0
0,0
0.01,0.02
0.03,0
0.06,0
0,0
0.01,0
0,0
0.25,0.07
0,0
0,0
0.04,0.08
0.04,0.04
0.05,0.02
0,0
0.01,0.01
0,0
0,0
0,0.01
0.02,0
0,0
0,0
0,0
0.3,0.01
0.15,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.02,0.03
0,0
0,0
0,0
0.03,0
0,0
0.01,0
0,0
0.01,0.04
0,0
0,0
0.01,0
0.01,0
0.01,0.04
0.05,0
0.04,0.04
0.12,0.02
0.11,0
0,0
0,0
0.07,0
0,0
0.01,0
0,0
0.13,0.04
0,0
0,0.11
0.02,0
0,0
0,0
0,0.01
0.01,0
0,0
0,0
0.06,0.06
0,0
0.02,0.01
0,0
0,0
0,0
0,0
0.01,0.01
0.02,0
0.11,0.11
0.02,0.01
0,0
0.02,0
0.35,0.53
0,0
0.02,0.03
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0.02
0,0
0.01,0.01
0.09,0.06
0,0
0,0
0.06,0
0,0
0,0
0.05,0.01
0.03,0
0,0
0,0
0.26,0.27
0,0
0,0.01
0,0
0,0.02
0,0.01
0.01,0.01
0,0
0.01,0
0.01,0.01
0,0
0.03,0.01
0.01,0.01
0,0
0.02,0.04
0.01,0.01
0.01,0.01
0.51,0.57
0.02,0.01
0,0
0.07,0.07
0.01,0.01
0.02,0.04
0,0
0,0
0,0.01
0.01,0
0,0
0,0
0,0
0,0
0.09,0
0,0
0,0
0.01,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.01
0,0
0.17,0.36
0,0
0,0
0,0
0,0
0,0
0.05,0
0,0
0.02,0
0.16,0
0.03,0
0,0
0,0
0.17,0.01
0,0
0,0
0,0
0.01,0.01
0,0
0,0
0,0
0,0
0,0
0.06,0.06
0.08,0.01
0.01,0.02
0,0
0,0
0,0
0,0
0,0
0,0
0.03,0.03
0.14,0.18
0,0
0,0
0.02,0.02
0.01,0
0,0
0.034848485,0.019178082
0,0
0.019083969,0.007575758
0,0
0.010799136,0.004301075
0,0
0.016194332,0.012145749
0,0
0,0
0.0861678,0.112128146
0.030150754,0.020304569
0,0
0.003773585,0
0.078481013,0.015037594
0.019417476,0.006578947
0,0
0,0
0,0.01056338
0,0
0.027777778,0
0,0
0,0.002631579
0,0
0,0
0.002298851,0.007874016
0,0
0.005555556,0.009009009
0,0.00952381
0.051643192,0.099099099
0,0
0.039215686,0.025
0.001658375,0
0.008264463,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.005
0,0
0.094117647,0.05
0,0
0,0.023076923
0.064981949,0.00462963
0,0
0,0
0,0
0.135338346,0.134328358
0,0
0,0
0.041587902,0.003752345
0,0
0,0
0.001968504,0
0,0
0,0
0,0
0,0.004065041
0,0.007920792
0.041666667,0.033057851
0,0
0,0
0.006802721,0
0,0
0,0
0.012578616,0.012578616
0.066350711,0.020689655
0,0
0,0
0.013824885,0.004672897
0,0
0,0
0,0
0,0
0,0
0.073937153,0.02946593
0.053140097,0.004694836
0.001945525,0.005791506
0.026092233,0.029896278
0.013679891,0.016064257
0,0
0,0
0,0
0.14,0.088
0,0
0.094043887,0.101071975
0,0
0,0.00462963
0,0
0,0
0,0.018518519
0,0
0,0
0,0.008403361
0,0
0,0
0.056716418,0.043604651
0.005882353,0
0.004376368,0
0,0
0,0
0.009892086,0.010762332
0,0
0,0
0.003649635,0
0,0
0,0
0,0
0.005076142,0
0.061043285,0.043478261
0,0
0,0
0.012987013,0
0,0
0,0
0,0.333333333
0,0
0.011278195,0
0.005154639,0.005347594
0.04375,0.0625
0,0
0,0
0,0
0,0
0.006342495,0
0.085365854,0
0,0
0,0
0,0
0,0
0.017647059,0
0,0
0.064,0.088607595
0.005208333,0
0.037037037,0.031674208
0,0
0,0
0,0
0,0
0,0
0,0.013618677
0.161538462,0.053164557
0.35915493,0.040268456
0.007751938,0
0.247148289,0.116451017
0.002849003,0
0.05362776,0.009463722
0.029239766,0.021582734
0,0
0,0
0,0
0,0
0,0
0.004395604,0.004454343
0,0
0,0
0,0
0.004385965,0
0.042553191,0
0,0
0.022624434,0
0.21875,0.088888889
0,0
0,0
0.006703911,0.006825939
0,0
0.184659091,0.040816327
0,0
0,0
0,0
0,0
0,0
0.058252427,0.045454545
0,0
0.030805687,0.007772021
0,0
0.011345219,0.012882448
0,0
0,0
0,0
0.019230769,0
0.000753012,0.001539646
0.00921659,0.019704433
0,0
0.003546099,0
0.005747126,0.003937008
0.049535604,0.039506173
0.015915119,0.019498607
0.056603774,0.038461538
0,0
0.016949153,0
0.006993007,0
0.01459854,0.026315789
0,0
0,0
0,0
0.2,0.6
0.003484321,0.003460208
0,0
0.022621424,0.019154557
0,0
0,0
0.161971831,0.112412178
0,0
0.189361702,0.317525773
0,0
0,0
0,0
0.208633094,0.079136691
0,0
0,0
0,0
0.027613412,0.03722334
0,0
0.01026694,0.010309278
0,0
0,0
0,0
0.002028398,0.001996008
0,0
0.032520325,0
0.015384615,0.013333333
0.22972973,0.185714286
0,0
0.004807692,0.009569378
0,0
0,0
0,0
0,0
0,0.057377049
0.019417476,0.026923077
0.003012048,0.002016129
0.027472527,0.058201058
0,0
0,0
0.023529412,0
0,0
0,0
0,0
0,0
0.010309278,0
0,0
0.007407407,0.009057971
0,0
0,0
0,0
0.046979866,0.019230769
0,0
0,0
0.002444988,0.002222222
0.007692308,0
0,0
0,0
0.027888446,0.022026432
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.008474576,0
0.072088725,0.090566038
0.327044025,0.018987342
0,0
0.06557377,0.009756098
0.004815409,0.001623377
0.015748031,0
0,0
0,0
0,0
0,0
0,0
0.013084112,0.013307985
0.096654275,0.092250923
0.026315789,0
0.024390244,0.025641026
0,0
0.008298755,0.049180328
0.006493506,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.013100437,0.021834061
0,0
0.001264223,0
0.014705882,0.015789474
0,0
0,0
0.002597403,0
0.008797654,0.005847953
0.058441558,0.032679739
0.017482517,0.074183976
0,0
0,0
0,0.004098361
0.036649215,0.017241379
0.009244992,0.001584786
0,0
0,0
0.017241379,0.008639309
0,0
0.00330033,0
0,0
0,0
0.012711864,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.007462687,0
0,0
0.076923077,0.111111111
0,0
0,0
0,0
0.006802721,0.006309148
0.020289855,0.008426966
0,0
0,0.008928571
0,0
0,0
0.064285714,0
0,0
0.003577818,0
0,0
0,0
0.010909091,0.03030303
0,0
0.032258065,0.032258065
0,0
0,0
0.047619048,0.068571429
0,0
0.037735849,0.015810277
0.023696682,0.006651885
0.004444444,0
0,0
0,0.014035088
0,0.023972603
0.071428571,0.040650407
0,0
0.091525424,0
0,0.029069767
0.039408867,0.04368932
0,0
0,0
0,0
0.00921659,0.028673835
0.160839161,0.007042254
0,0
0,0
0.230769231,0.145251397
0.295918367,0.033333333
0,0
0,0
0,0
0.01034295,0.016912166
0,0
0,0.002083333
0,0
0.006578947,0
0.003669725,0
0,0
0,0
0,0
0.023601399,0.021588946
0.032679739,0
0,0
0.145251397,0.106145251
0.076923077,0.196721311
0.034013605,0
0.026785714,0
0,0
0,0
0.151515152,0.142857143
0,0
0,0
0.00286533,0
0.001831502,0
0.042402827,0.017667845
0,0
0.006849315,0
0,0
0,0
0,0
0.029761905,0
0,0
0.025641026,0.060301508
0,0
0.019607843,0.036144578
0,0
0.003533569,0
0,0
0,0
0,0
0.012690355,0.0078125
0,0
0.079335793,0.091240876
0,0
0.070707071,0.066985646
0.014124294,0.017094017
0.023809524,0
0.081712062,0.003846154
0.009259259,0
0,0.011173184
0,0.03030303
0.04887218,0.011450382
0,0
0,0
0.021406728,0.042682927
0,0
0,0
0,0
0,0
0.007751938,0
0,0
0,0
0,0
0.021164021,0.021276596
0,0
0.05511811,0.029850746
0.079207921,0.065656566
0.035,0
0.081712062,0.071713147
0,0
0,0
0,0
0,0
0.052631579,0.004032258
0,0
0,0
0.029411765,0
0,0
0,0
0,0
0,0.004545455
0.03022339,0.021447721
0,0.001818182
0,0
0,0
0.058091286,0.028688525
0,0
0,0.004651163
0.008849558,0.00887574
0.00625,0
0.021978022,0.021017699
0.011049724,0.02173913
0.00625,0
0.004098361,0
0,0
0,0
0,0
0.009389671,0
0.053320861,0.032225579
0.029535865,0.018348624
0,0
0,0
0.02238806,0.081395349
0,0.015384615
0.027923211,0.021015762
0,0
0,0
0.003703704,0.003508772
0,0.020725389
0,0
0,0
0,0
0.006570302,0.007884363
0.06504065,0.016161616
0,0
0.303921569,0.225
0.004366812,0.004366812
0.011695906,0
0,0
0.014285714,0.03125
0.006289308,0
0,0
0,0
0.020689655,0
0.120689655,0.130434783
0.070566388,0.012844037
0.012121212,0
0,0
0,0
0,0
0.056547619,0.061583578
0,0
0,0
0.111445783,0.111111111
0,0
0.666666667,0.5
0,0
0,0
0,0
0,0
0.044210526,0.05
0.302325581,0.187782805
0.082164329,0.024096386
0,0
0,0
0.024725275,0.002747253
0.125,0
0,0
0,0
0.151515152,0.043290043
0.018808777,0.021333333
0,0
0.029755579,0.030883919
0.105442177,0.05
0.010706638,0.004329004
0.006060606,0
0.096910112,0
0,0
0.073349633,0.060913706
0,0
0,0
0,0
0,0.009345794
0,0
0.018867925,0
0,0
0,0
0,0
0.210526316,0.038461538
0.203125,0.097222222
0.071759259,0.033163265
0.082352941,0.025641026
0,0
0,0
0.003278689,0.006535948
0,0
0,0
0,0
0.024630542,0.02173913
0,0
0,0
0.019083969,0.114803625
0.16,0.104
0,0
0,0
0.015337423,0
0.028708134,0.019230769
0.024752475,0
0,0
0.228813559,0.203539823
0,0
0.076923077,0.05
0.022222222,0.011560694
0.110738255,0.077966102
0,0
0,0
0,0
0.029350105,0.016877637
0,0
0,0
0.005449591,0
0,0.003225806
0.013675214,0.005319149
0,0
0,0.002159827
0,0
0.227586207,0.089171975
0.005797101,0
0,0
0,0
0.032110092,0
0.020576132,0.0041841
0,0
0.067010309,0.089974293
0,0
0,0
0,0.058823529
0,0
0,0
0,0
0,0
0.012048193,0.005319149
0.390350877,0.29338843
0,0
0,0
0,0
0,0
0,0
0.029003783,0.037641154
0,0
0,0
0,0
0,0
0,0
0.00967118,0.011673152
0,0
0.035897436,0.017971759
0.006993007,0
0,0
0,0
0,0
0.035830619,0.052795031
0.00661157,0.005008347
0,0
0,0
0,0
0,0
0.010526316,0
0,0
0.018099548,0.025104603
0.103448276,0
0,0
0.013574661,0
0.038554217,0.035799523
0.00952381,0.002932551
0.006734007,0
0,0.005235602
0,0
0,0
0.002008032,0.004008016
0.005,0.005025126
0,0
0,0
0.005338078,0
0,0
0.041666667,0.105555556
0,0
0,0.052631579
0,0
0,0
0.016574586,0.011173184
0.004901961,0.002331002
0.052631579,0.007797271
0,0
0,0
0,0
0.016528926,0.032520325
0.026200873,0.004385965
0,0
0.001980198,0
0,0
0.051724138,0
0.130434783,0.119760479
0,0
0.006060606,0
0.006880734,0.002217295
0,0
0,0
0,0
0,0
0,0
0,0
0.015772871,0.009146341
0,0
0,0
0.029605263,0
0,0.016949153
0,0.009367681
0,0
0,0
0,0
0,0
0,0
0,0
0.291428571,0.05026455
0.023529412,0.077419355
0,0
0,0
0.163265306,0.02617801
0,0.034782609
0.041916168,0.01183432
0.013333333,0.022988506
0.025641026,0.03030303
0.012110727,0.003448276
0.110047847,0.023809524
0.011538462,0.003831418
0.007462687,0.007125891
0,0
0.252,0.24
0.051477598,0.047115385
0,0
0.04620462,0.109271523
0,0
0,0
0,0
0.037701975,0
0,0
0.009433962,0.009615385
0.002890173,0.00286533
0,0
0.086330935,0
0.030178326,0.069152542
0.094339623,0.076086957
0,0
0.014527845,0.014669927
0,0
0,0
0.006085193,0.022088353
0.059027778,0.126984127
0.007843137,0.003968254
0,0
0.005952381,0
0,0
0,0
0,0
0,0
0,0
0.008064516,0.031007752
0,0
0,0
0.002386635,0.002369668
0.073619632,0.037151703
0,0
0,0
0.00511509,0.005309735
0.063636364,0.02
0,0
0,0
0,0
0,0
0,0
0.110526316,0.10106383
0.005555556,0.005
0.086065574,0.038934426
0.006872852,0
0,0
