frame,EyeAspectRatio,left_eye_landmarks,right_eye_landmarks,Label
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.29840204437006834,"[(283, 149), (288, 145), (294, 145), (301, 149), (294, 150), (288, 151)]","[(328, 148), (334, 144), (340, 144), (346, 147), (341, 149), (334, 149)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[189 150  95]
  [189 150  95]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[189 150  95]
  [189 150  95]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[189 150  95]
  [189 150  95]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.27613392491217237,"[(282, 150), (288, 146), (294, 146), (301, 150), (294, 151), (288, 152)]","[(328, 149), (334, 144), (340, 144), (346, 147), (341, 149), (334, 149)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.2964841326742468,"[(282, 150), (287, 146), (294, 146), (301, 150), (294, 151), (288, 152)]","[(327, 149), (333, 144), (340, 144), (346, 147), (341, 149), (334, 149)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]

 [[190 151  96]
  [190 151  96]
  [190 151  96]
  ...
  [197 156  95]
  [197 156  95]
  [197 156  95]]]",0.2766818034146352,"[(282, 150), (287, 146), (294, 146), (300, 150), (294, 151), (287, 152)]","[(328, 149), (334, 144), (341, 144), (347, 147), (341, 149), (335, 149)]",0
"[[[ 20   3   0]
  [ 20   3   0]
  [ 20   3   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 60  43  37]
  [ 60  43  37]
  [ 60  43  37]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[113  83  77]
  [113  83  77]
  [113  83  77]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]]",0.27743501243487745,"[(282, 150), (288, 146), (294, 146), (301, 150), (294, 151), (288, 152)]","[(328, 149), (334, 144), (341, 144), (347, 147), (341, 149), (335, 150)]",0
"[[[ 19   2   0]
  [ 19   2   0]
  [ 19   2   0]
  ...
  [ 14   0   9]
  [ 15   0  10]
  [ 16   0  11]]

 [[ 59  42  36]
  [ 59  42  36]
  [ 59  42  36]
  ...
  [ 67  47  62]
  [ 69  49  64]
  [ 69  49  64]]

 [[111  81  75]
  [111  81  75]
  [113  83  77]
  ...
  [114  91 124]
  [117  91 125]
  [117  91 125]]

 ...

 [[186 149  96]
  [186 149  96]
  [186 149  96]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[186 149  96]
  [186 149  96]
  [186 149  96]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[186 149  96]
  [186 149  96]
  [186 149  96]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]]",0.2629760301753302,"[(283, 150), (288, 146), (295, 145), (301, 149), (295, 151), (288, 151)]","[(329, 148), (335, 144), (342, 143), (348, 147), (342, 149), (335, 149)]",0
"[[[ 18   1   0]
  [ 18   1   0]
  [ 18   1   0]
  ...
  [ 11   0   7]
  [ 11   0   5]
  [ 11   0   5]]

 [[ 57  40  34]
  [ 57  40  34]
  [ 57  40  34]
  ...
  [ 61  45  57]
  [ 61  46  55]
  [ 61  46  55]]

 [[110  80  74]
  [110  80  74]
  [111  81  75]
  ...
  [108  89 117]
  [109  90 116]
  [109  90 116]]

 ...

 [[178 142  92]
  [178 142  92]
  [178 142  92]
  ...
  [188 147  91]
  [188 147  91]
  [188 147  91]]

 [[178 142  92]
  [178 142  92]
  [178 142  92]
  ...
  [188 147  91]
  [188 147  91]
  [188 147  91]]

 [[178 142  92]
  [178 142  92]
  [178 142  92]
  ...
  [188 147  91]
  [188 147  91]
  [188 147  91]]]",0.3112034577542667,"[(283, 149), (288, 145), (295, 145), (301, 149), (295, 150), (288, 151)]","[(328, 148), (335, 143), (341, 143), (347, 147), (342, 149), (335, 149)]",0
"[[[ 19   2   0]
  [ 19   2   0]
  [ 19   2   0]
  ...
  [ 11   0   7]
  [ 11   0   5]
  [ 11   0   5]]

 [[ 59  42  36]
  [ 59  42  36]
  [ 59  42  36]
  ...
  [ 61  45  57]
  [ 61  46  55]
  [ 61  46  55]]

 [[111  81  75]
  [111  81  75]
  [113  83  77]
  ...
  [108  89 117]
  [109  90 116]
  [109  90 116]]

 ...

 [[183 145  95]
  [183 145  95]
  [183 145  95]
  ...
  [189 148  92]
  [189 148  92]
  [189 148  92]]

 [[183 145  95]
  [183 145  95]
  [183 145  95]
  ...
  [189 148  92]
  [189 148  92]
  [189 148  92]]

 [[183 145  95]
  [183 145  95]
  [183 145  95]
  ...
  [189 148  92]
  [189 148  92]
  [189 148  92]]]",0.30350232213537287,"[(283, 149), (288, 145), (295, 145), (301, 149), (295, 150), (288, 151)]","[(329, 148), (335, 144), (342, 143), (348, 147), (342, 149), (336, 149)]",0
"[[[ 20   3   0]
  [ 20   3   0]
  [ 20   3   0]
  ...
  [ 14   0   9]
  [ 14   0   8]
  [ 14   0   8]]

 [[ 60  43  37]
  [ 60  43  37]
  [ 60  43  37]
  ...
  [ 65  45  60]
  [ 66  47  60]
  [ 66  47  60]]

 [[113  83  77]
  [113  83  77]
  [113  83  77]
  ...
  [112  89 122]
  [113  91 122]
  [114  92 123]]

 ...

 [[185 148  95]
  [185 148  95]
  [185 148  95]
  ...
  [191 151  92]
  [191 151  92]
  [191 151  92]]

 [[185 148  95]
  [185 148  95]
  [185 148  95]
  ...
  [191 151  92]
  [191 151  92]
  [191 151  92]]

 [[185 148  95]
  [185 148  95]
  [185 148  95]
  ...
  [191 151  92]
  [191 151  92]
  [191 151  92]]]",0.29836837672901984,"[(283, 149), (289, 145), (295, 145), (302, 149), (295, 150), (289, 151)]","[(329, 148), (335, 143), (342, 143), (348, 147), (342, 149), (335, 149)]",0
"[[[ 21   4   0]
  [ 21   4   0]
  [ 21   4   0]
  ...
  [ 14   0  11]
  [ 16   0   9]
  [ 17   0  10]]

 [[ 61  44  38]
  [ 61  44  38]
  [ 61  44  38]
  ...
  [ 66  46  63]
  [ 69  47  62]
  [ 71  49  64]]

 [[114  84  78]
  [114  84  78]
  [114  84  78]
  ...
  [113  89 125]
  [116  90 124]
  [117  91 125]]

 ...

 [[186 149  96]
  [186 149  96]
  [186 149  96]
  ...
  [192 152  93]
  [192 152  93]
  [192 152  93]]

 [[186 149  96]
  [186 149  96]
  [186 149  96]
  ...
  [192 152  93]
  [192 152  93]
  [192 152  93]]

 [[186 149  96]
  [186 149  96]
  [186 149  96]
  ...
  [192 152  93]
  [192 152  93]
  [192 152  93]]]",0.29840204437006834,"[(284, 149), (289, 145), (296, 145), (302, 149), (296, 151), (289, 151)]","[(329, 148), (335, 144), (342, 143), (348, 147), (343, 149), (336, 149)]",0
"[[[ 20   3   0]
  [ 20   3   0]
  [ 20   3   0]
  ...
  [ 14   0  11]
  [ 16   0   9]
  [ 17   0  10]]

 [[ 60  43  37]
  [ 60  43  37]
  [ 60  43  37]
  ...
  [ 66  46  63]
  [ 69  47  62]
  [ 71  49  64]]

 [[113  83  77]
  [113  83  77]
  [113  83  77]
  ...
  [113  89 125]
  [116  90 124]
  [117  91 125]]

 ...

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[189 150  95]
  [189 150  95]
  [189 150  95]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]]",0.283425679976489,"[(284, 149), (289, 145), (296, 145), (302, 149), (296, 150), (289, 151)]","[(329, 148), (336, 143), (343, 143), (348, 147), (343, 149), (336, 149)]",0
"[[[ 19   2   0]
  [ 19   2   0]
  [ 19   2   0]
  ...
  [ 14   0  11]
  [ 16   0   9]
  [ 17   0  10]]

 [[ 59  42  36]
  [ 59  42  36]
  [ 59  42  36]
  ...
  [ 66  46  63]
  [ 69  47  62]
  [ 71  49  64]]

 [[111  81  75]
  [111  81  75]
  [113  83  77]
  ...
  [113  89 125]
  [116  90 124]
  [117  91 125]]

 ...

 [[186 149  94]
  [186 149  94]
  [186 149  94]
  ...
  [194 154  95]
  [194 155  94]
  [194 155  94]]

 [[186 149  94]
  [186 149  94]
  [186 149  94]
  ...
  [194 154  95]
  [194 155  94]
  [194 155  94]]

 [[186 149  94]
  [186 149  94]
  [186 149  94]
  ...
  [194 154  95]
  [194 155  94]
  [194 155  94]]]",0.27007213186321644,"[(284, 150), (290, 146), (296, 146), (303, 149), (296, 151), (290, 151)]","[(330, 148), (336, 144), (343, 144), (349, 147), (343, 149), (337, 149)]",0
"[[[ 18   1   0]
  [ 18   1   0]
  [ 18   1   0]
  ...
  [ 11   0   5]
  [ 11   0   5]
  [ 11   0   5]]

 [[ 57  40  34]
  [ 57  40  34]
  [ 57  40  34]
  ...
  [ 61  46  55]
  [ 61  46  55]
  [ 61  46  55]]

 [[110  80  74]
  [110  80  74]
  [111  81  75]
  ...
  [109  90 116]
  [109  90 116]
  [109  90 116]]

 ...

 [[181 144  96]
  [181 144  96]
  [181 144  96]
  ...
  [190 149  93]
  [190 149  93]
  [190 149  93]]

 [[181 144  96]
  [181 144  96]
  [181 144  96]
  ...
  [190 149  93]
  [190 149  93]
  [190 149  93]]

 [[181 144  96]
  [181 144  96]
  [181 144  96]
  ...
  [190 149  93]
  [190 149  93]
  [190 149  93]]]",0.2787232517031157,"[(284, 150), (290, 146), (296, 146), (302, 149), (296, 151), (290, 151)]","[(330, 148), (336, 144), (343, 144), (348, 147), (343, 149), (336, 149)]",0
"[[[ 18   1   0]
  [ 18   1   0]
  [ 18   1   0]
  ...
  [ 11   0   7]
  [ 11   0   5]
  [ 11   0   5]]

 [[ 57  40  34]
  [ 57  40  34]
  [ 57  40  34]
  ...
  [ 61  45  57]
  [ 61  46  55]
  [ 61  46  55]]

 [[110  80  74]
  [110  80  74]
  [111  81  75]
  ...
  [108  89 117]
  [109  90 116]
  [109  90 116]]

 ...

 [[178 141  93]
  [178 141  93]
  [178 141  93]
  ...
  [188 147  91]
  [188 147  91]
  [188 147  91]]

 [[178 141  93]
  [178 141  93]
  [178 141  93]
  ...
  [188 147  91]
  [188 147  91]
  [188 147  91]]

 [[178 141  93]
  [178 141  93]
  [178 141  93]
  ...
  [188 147  91]
  [188 147  91]
  [188 147  91]]]",0.2576981703296143,"[(285, 151), (290, 148), (297, 148), (303, 151), (297, 153), (291, 153)]","[(330, 150), (336, 146), (343, 146), (348, 149), (343, 151), (337, 151)]",0
"[[[ 20   2   0]
  [ 20   2   0]
  [ 20   2   0]
  ...
  [ 11   0   5]
  [ 11   0   5]
  [ 11   0   5]]

 [[ 60  42  39]
  [ 60  42  39]
  [ 60  42  39]
  ...
  [ 61  46  55]
  [ 61  46  55]
  [ 61  46  55]]

 [[113  82  78]
  [113  82  78]
  [113  82  78]
  ...
  [109  90 116]
  [109  90 116]
  [109  90 116]]

 ...

 [[183 145  95]
  [183 145  95]
  [183 145  95]
  ...
  [190 150  91]
  [190 150  91]
  [190 150  91]]

 [[183 145  95]
  [183 145  95]
  [183 145  95]
  ...
  [190 150  91]
  [190 150  91]
  [190 150  91]]

 [[183 145  95]
  [183 145  95]
  [183 145  95]
  ...
  [190 150  91]
  [190 150  91]
  [190 150  91]]]",0.2789370915356973,"[(285, 152), (291, 149), (297, 149), (303, 152), (297, 153), (291, 154)]","[(330, 151), (336, 147), (343, 147), (348, 150), (343, 152), (337, 152)]",0
"[[[ 21   3   0]
  [ 21   3   0]
  [ 21   3   0]
  ...
  [ 14   0  11]
  [ 17   0  10]
  [ 17   0  10]]

 [[ 61  43  40]
  [ 61  43  40]
  [ 61  43  40]
  ...
  [ 67  47  64]
  [ 71  49  64]
  [ 71  49  64]]

 [[114  83  79]
  [114  83  79]
  [114  83  79]
  ...
  [114  90 126]
  [117  91 125]
  [117  91 125]]

 ...

 [[187 149  99]
  [187 149  99]
  [187 149  99]
  ...
  [196 155  94]
  [196 155  94]
  [196 155  94]]

 [[187 149  99]
  [187 149  99]
  [187 149  99]
  ...
  [196 155  94]
  [196 155  94]
  [196 155  94]]

 [[187 149  99]
  [187 149  99]
  [187 149  99]
  ...
  [196 155  94]
  [196 155  94]
  [196 155  94]]]",0.2787232517031157,"[(286, 152), (291, 148), (297, 148), (304, 151), (297, 153), (291, 153)]","[(331, 150), (337, 146), (343, 146), (349, 149), (344, 151), (337, 151)]",0
"[[[ 21   3   0]
  [ 21   3   0]
  [ 21   3   0]
  ...
  [ 14   0  11]
  [ 17   0  10]
  [ 17   0  10]]

 [[ 61  43  40]
  [ 61  43  40]
  [ 61  43  40]
  ...
  [ 67  47  64]
  [ 71  49  64]
  [ 71  49  64]]

 [[114  83  79]
  [114  83  79]
  [114  83  79]
  ...
  [114  90 126]
  [117  91 125]
  [117  91 125]]

 ...

 [[187 150  97]
  [187 150  97]
  [187 150  97]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[187 150  97]
  [187 150  97]
  [187 150  97]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[187 150  97]
  [187 150  97]
  [187 150  97]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]]",0.2772349614172144,"[(286, 151), (291, 148), (297, 147), (304, 151), (297, 152), (291, 153)]","[(331, 149), (337, 145), (343, 145), (349, 148), (344, 150), (337, 150)]",0
"[[[ 21   3   0]
  [ 21   3   0]
  [ 21   3   0]
  ...
  [ 14   0  11]
  [ 17   0  10]
  [ 17   0  10]]

 [[ 61  43  40]
  [ 61  43  40]
  [ 61  43  40]
  ...
  [ 67  47  64]
  [ 71  49  64]
  [ 71  49  64]]

 [[114  83  79]
  [114  83  79]
  [114  83  79]
  ...
  [114  90 126]
  [117  91 125]
  [117  91 125]]

 ...

 [[186 148  98]
  [186 148  98]
  [186 148  98]
  ...
  [192 153  92]
  [192 153  92]
  [192 153  92]]

 [[186 148  98]
  [186 148  98]
  [186 148  98]
  ...
  [192 153  92]
  [192 153  92]
  [192 153  92]]

 [[186 148  98]
  [186 148  98]
  [186 148  98]
  ...
  [192 153  92]
  [192 153  92]
  [192 153  92]]]",0.2800964052936168,"[(286, 151), (291, 147), (298, 147), (304, 150), (298, 152), (292, 152)]","[(332, 149), (338, 145), (344, 145), (350, 148), (345, 150), (338, 150)]",0
"[[[ 21   3   0]
  [ 21   3   0]
  [ 21   3   0]
  ...
  [ 14   0  11]
  [ 17   0  10]
  [ 17   0  10]]

 [[ 61  43  40]
  [ 61  43  40]
  [ 61  43  40]
  ...
  [ 67  47  64]
  [ 71  49  64]
  [ 71  49  64]]

 [[114  83  79]
  [114  83  79]
  [114  83  79]
  ...
  [114  90 126]
  [117  91 125]
  [117  91 125]]

 ...

 [[187 150  97]
  [187 150  97]
  [187 150  97]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[187 150  97]
  [187 150  97]
  [187 150  97]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]

 [[187 150  97]
  [187 150  97]
  [187 150  97]
  ...
  [196 154  95]
  [196 154  95]
  [196 154  95]]]",0.2727463729764227,"[(286, 150), (292, 147), (298, 146), (304, 150), (298, 151), (292, 152)]","[(332, 149), (338, 145), (345, 145), (351, 148), (345, 150), (339, 150)]",0
